
> music-store-api@1.0.0 start
> node src/server.js

Music Store API running on http://localhost:5000
GET /api/health 200 1.652 ms - 15
GET /api/health 200 0.288 ms - 15
POST /api/auth/staff-login 200 285.653 ms - 495
GET /api/staff/products 200 20.600 ms - 16498
GET /api/products?limit=100 200 15.408 ms - 16498
GET /api/categories 200 2.018 ms - 1675
POST /api/auth/staff-login 200 388.678 ms - 495
GET /api/auth/me 304 10.341 ms - -
GET /api/auth/me 304 6.992 ms - -
GET /api/cart 304 22.446 ms - -
GET /api/cart 304 12.375 ms - -
GET /api/auth/me 304 2.955 ms - -
GET /api/auth/me 304 3.096 ms - -
GET /api/cart 304 8.954 ms - -
GET /api/cart 304 10.220 ms - -
GET /api/categories 304 3.702 ms - -
GET /api/categories 304 2.809 ms - -
GET /api/products?sort=newest&limit=100 200 12.246 ms - 16498
GET /api/orders/mine 304 19.865 ms - -
GET /api/orders/mine 304 10.422 ms - -
GET /api/categories 304 4.526 ms - -
GET /api/categories 304 3.061 ms - -
GET /api/products?sort=newest&limit=100 304 15.099 ms - -
GET /api/products?category=6a9a4983ab7408b66e435628&sort=newest&limit=100 200 7.363 ms - 2096
GET /api/products?category=6a9a4983ab7408b66e435628&available=true&sort=newest&limit=100 200 8.985 ms - 2096
GET /api/products?category=6a9a4983ab7408b66e435628&available=true&sort=price_asc&limit=100 200 14.561 ms - 2096
GET /api/auth/me 401 1.287 ms - 37
GET /api/auth/me 401 0.528 ms - 37
POST /api/auth/staff-login 200 426.980 ms - 495
GET /api/auth/me 200 3.003 ms - 288
GET /api/auth/me 304 2.565 ms - -
GET /api/categories 200 3.219 ms - 1675
GET /api/categories 304 2.932 ms - -
GET /api/auth/me 304 7.308 ms - -
GET /api/auth/me 304 3.233 ms - -
GET /api/categories 304 2.419 ms - -
GET /api/categories 304 2.656 ms - -
GET /api/orders/mine 304 37.338 ms - -
GET /api/orders/mine 304 44.192 ms - -
GET /api/categories 304 3.481 ms - -
GET /api/categories 304 11.102 ms - -
GET /api/products?sort=newest&limit=100 304 18.370 ms - -
GET /api/auth/me 304 3.573 ms - -
GET /api/auth/me 304 1.601 ms - -
GET /api/cart 304 4.610 ms - -
GET /api/cart 304 5.230 ms - -
POST /api/auth/staff-login 200 266.063 ms - 495
GET /api/staff/dashboard 200 72.321 ms - 1737
GET /api/staff/dashboard 304 7.983 ms - -
GET /api/staff/products 200 16.967 ms - 16498
GET /api/staff/products 304 10.656 ms - -
GET /api/staff/sales?page=1 200 13.452 ms - 861
GET /api/staff/sales?page=1 304 9.395 ms - -
GET /api/staff/reports?type=daily 200 12.925 ms - 430
GET /api/staff/reports?type=daily 200 8.110 ms - 430
GET /api/staff/reports?type=daily 200 10.966 ms - 430
GET /api/staff/reports?type=daily 200 9.489 ms - 430
GET /api/staff/sales?page=1 304 14.089 ms - -
GET /api/staff/sales?page=1 304 9.309 ms - -
GET /api/staff/products 304 11.514 ms - -
GET /api/staff/products 304 10.383 ms - -
GET /api/staff/dashboard 304 10.599 ms - -
GET /api/staff/dashboard 304 9.635 ms - -
GET /api/staff/products 304 27.554 ms - -
GET /api/staff/products 304 9.370 ms - -
GET /api/staff/sales?page=1 304 9.124 ms - -
GET /api/staff/sales?page=1 304 11.732 ms - -
GET /api/staff/reports?type=daily 200 9.857 ms - 430
GET /api/staff/reports?type=daily 200 10.322 ms - 430
GET /api/staff/sales?page=1 304 32.970 ms - -
GET /api/staff/sales?page=1 304 16.114 ms - -
GET /api/staff/reports?type=daily 200 12.728 ms - 430
GET /api/staff/reports?type=daily 200 8.706 ms - 430
GET /api/staff/dashboard 304 11.405 ms - -
GET /api/staff/dashboard 304 9.546 ms - -
POST /api/auth/logout 200 32.112 ms - 24
GET /api/products?featured=true&limit=6 200 7.069 ms - 4117
GET /api/products?featured=true&limit=6 304 4.216 ms - -
POST /api/auth/login 200 274.450 ms - 443
GET /api/cart 304 7.042 ms - -
GET /api/products?featured=true&limit=6 304 6.011 ms - -
